IM_Dir	Directorate	IM_Dep	Department	Project Definition	Project Definition Description	WBS Element	WBS Element Description	Fund Source Desc	Major Fund	Original Budget	Adj Bug Aug	Motivation	Ward	Total Project Cost
A01	City Manager	A0101	City Manager	C14.21001	Office Equipment: Additional	C14.21001-F1	Office Equipment: Additional	1 EFF	EFF	16378	16378		201	16378.00
A01	City Manager	A0101	City Manager	C14.21002	Furniture: Additional	C14.21002-F1	Furniture: Additional	1 EFF	EFF	41366	41366		201	41366.00
A01	City Manager	A0101	City Manager	C14.00004	OCM Contingency Provision insurance	C14.00004-F1	OCM Contingency Provision insurance	2 REVENUE: INSURANCE	REVENUE	50000	50000		201	50000.00
A01	City Manager	A0101	City Manager	C14.21004	Replacement of office equipment	C14.21004-F1	Replacement of office equipment	1 EFF	EFF	24566	24566		201	24566.00
A01	City Manager	A0101	City Manager	C14.21005	Replacement of furniture	C14.21005-F1	Replacement of furniture	1 EFF	EFF	62050	62050		201	62050.00
A01	City Manager	A0101	City Manager	C14.21006	Computer Equipment: Additional	C14.21006-F1	Computer Equipment: Additional	1 EFF	EFF	11200	11200		201	11200.00
A01	City Manager	A0101	City Manager	C14.21007	Replacement of computers	C14.21007-F1	Replacement of computers	1 EFF	EFF	16800	16800		201	16800.00
A01	City Manager	A0103	Int Strategic Communications & Branding	C14.12902	"Furniture,Communicate Equip: Replacement"	C14.12902-F1	"Furniture,Communicate Equip: Replacement"	1 EFF	EFF	380000	380000		201	380000.00
A01	City Manager	A0103	Int Strategic Communications & Branding	C14.12905	Furniture: Additional	C14.12905-F1	Furniture: Additional	1 EFF	EFF	90000	90000		201	90000.00
A01	City Manager	A0103	Int Strategic Communications & Branding	C14.12906	Equipment: Additional	C14.12906-F1	Equipment: Additional	1 EFF	EFF	150000	150000		201	150000.00
A02	Deputy City Manager	A0201	Deputy City Manager	C14.00003	Dep City Manager- Contingency Provision	C14.00003-F1	Dep City Manager- Contingency Provision	2 REVENUE: INSURANCE	REVENUE	150000	50000	Provision allocated to the newly established Compliance and Auxiliary Services to ensure that adequate budgetary provision exists for all those departments previously part of the DCM Directorate.	201	50000.00
A02	Deputy City Manager	A0203	Project Management & Service Delivery In	C14.00048	Project and Portfolio Management	C14.00048-F1	Project and Portfolio Management	1 EFF	EFF	12900000	12900000		201	17000000.00
A02	Deputy City Manager	A0210	Expanded Public Works Programme	C14.00077	Computers & Equipment	C14.00077-F1	Computers & Equipment	4 NT EPWP	CGD	100000	730000	Provision allocated to the incorporation of the EPWP Payroll function on SAP for the increased computer equipment and furniture requirements based on the approved organisational design for the EPWP office.	201	730000.00
A02	Deputy City Manager	A0216	Urban Regeneration	C10.15907	Upgrade of Training Centres	C10.15907-F1	Upgrade of Training Centres	4 STATE_NT_URP	CGD	0	507070	The contractor's (SCM no.191Q/2012/13) tax certificate expired and the invoice for June 2013 could not be processed.	200	507070.00
A02	Deputy City Manager	A0216	Urban Regeneration	C10.96015	Work live units Ntlazane Road	C10.96015-F1	Work live units Ntlazane Road	4 NT NDPG	CGD	0	3070000	Provision allocated to the Lentegeur Civic Upgrade in the 2012/13 financial year and are now refunded in the 2013/14 financial year.	94	5850848.38
