WARD NO. 	AMOUNT (Rands)
200	2,806,467,860
201	903,409,515
77	130,890,004
42	123,957,591
55	104,914,930
6	100,631,562
53	92,174,685
47	71,613,552
51	65,750,354
43	63,980,212
917	62,671,016
66	57,123,812
44	56,529,095
74	52,340,302
100	50,281,652
97	49,663,039
104	46,542,917
10	43,599,820
40	41,844,383
108	41,008,058
103	39,219,830
3	35,878,036
4	32,125,946
12	28,360,270
49	28,150,266
54	26,684,288
64	26,300,000
109	26,018,623
31	25,300,000
105	19,307,575
9	17,140,000
67	16,988,827
72	15,232,294
38	14,820,000
13	12,507,982
30	11,876,616
14	11,839,633
901	11,829,305
76	11,818,693
39	10,595,921
907	10,500,000
80	10,229,690
79	9,896,447
15	8,930,000
98	8,530,840
7	8,141,830
32	7,307,097
21	6,700,847
87	6,500,000
94	6,479,874
75	6,300,000
36	6,039,950
11	5,800,000
924	5,465,166
2	5,366,963
84	5,334,000
1	5,280,080
58	5,230,000
92	4,717,252
85	4,655,147
29	4,200,000
919	4,026,517
19	3,987,271
923	3,660,112
82	3,524,600
102	3,515,000
34	3,207,728
37	3,191,050
904	3,074,798
56	2,860,000
110	2,451,058
33	2,400,000
62	2,320,000
25	2,202,956
69	2,100,000
86	2,100,000
914	1,980,000
106	1,918,934
83	1,764,206
45	1,500,000
61	1,404,693
909	1,396,320
911	1,396,303
91	1,372,931
24	1,349,000
71	1,290,000
52	1,154,467
22	1,124,737
20	1,097,606
111	1,039,750
88	1,021,879
93	1,009,259
63	900,000
17	850,000
99	825,066
95	801,744
23	781,989
57	725,000
81	711,799
910	710,481
27	700,000
35	696,868
913	620,027
908	595,527
90	595,016
68	573,911
59	569,991
70	561,553
16	542,423
101	450,000
28	401,319
78	389,000
905	385,620
60	348,000
73	340,000
5	340,000
50	335,000
8	310,000
65	300,000
48	297,400
915	247,008
107	220,000
912	172,601
26	168,266
920	166,236
46	160,000
18	158,373
916	119,968
918	92,897
903	75,630
906	74,513
921	8,631
96	6,350
902	2,437
